index,date,team,home_or_away,opponent,game_result,game_finish,scorer,age,career_goal_number,primary_assist,secondary_assist,goalie,period,time,strength,other,arena
1,2019-10-02,EDM,,VAN,W,,Leon Draisaitl,23,126,Zack Kassian,Matt Benning,Jacob Markstrom,1,05:42,EV,,Rogers Place
2,2019-10-02,EDM,,VAN,W,,Zack Kassian,28,68,Leon Draisaitl,Darnell Nurse,Jacob Markstrom,3,10:52,EV,,Rogers Place
3,2019-10-02,EDM,,VAN,W,,Connor McDavid,22,129,Leon Draisaitl,Matt Benning,Jacob Markstrom,3,14:37,EV,,Rogers Place
4,2019-10-05,EDM,,LAK,W,,Connor McDavid,22,130,Leon Draisaitl,Oscar Klefbom,Jonathan Quick,1,00:53,EV,,Rogers Place
5,2019-10-05,EDM,,LAK,W,,Zack Kassian,28,69,Leon Draisaitl,Connor McDavid,Jonathan Quick,2,04:51,EV,,Rogers Place
6,2019-10-05,EDM,,LAK,W,,Joakim Nygard,26,1,Gaetan Haas,,Jonathan Quick,3,05:24,EV,,Rogers Place
7,2019-10-05,EDM,,LAK,W,,Darnell Nurse,24,25,Tomas Jurco,,Jonathan Quick,3,10:10,EV,,Rogers Place
8,2019-10-05,EDM,,LAK,W,,James Neal,32,271,Connor McDavid,Oscar Klefbom,Jonathan Quick,1,10:23,PP,,Rogers Place
9,2019-10-05,EDM,,LAK,W,,James Neal,32,272,Connor McDavid,Oscar Klefbom,Jonathan Quick,3,13:28,PP,,Rogers Place
10,2019-10-08,EDM,@,NYI,W,,James Neal,32,273,,,Semyon Varlamov,1,17:53,EV,,Nassau Veterans Memorial Coliseum
11,2019-10-08,EDM,@,NYI,W,,Zack Kassian,28,70,Leon Draisaitl,Connor McDavid,Semyon Varlamov,2,08:46,EV,,Nassau Veterans Memorial Coliseum
12,2019-10-08,EDM,@,NYI,W,,James Neal,32,276,Tomas Jurco,Oscar Klefbom,Thomas Greiss,3,06:51,EV,,Nassau Veterans Memorial Coliseum
13,2019-10-08,EDM,@,NYI,W,,James Neal,32,274,Connor McDavid,Darnell Nurse,Semyon Varlamov,1,19:29,PP,,Nassau Veterans Memorial Coliseum
14,2019-10-08,EDM,@,NYI,W,,James Neal,32,275,Leon Draisaitl,Connor McDavid,Semyon Varlamov,2,06:31,PP,,Nassau Veterans Memorial Coliseum
15,2019-10-10,EDM,@,NJD,W,SO,Leon Draisaitl,23,127,Darnell Nurse,Zack Kassian,MacKenzie Blackwood,1,09:17,EV,,Prudential Center
16,2019-10-10,EDM,@,NJD,W,SO,James Neal,32,277,Ryan Nugent-Hopkins,Connor McDavid,MacKenzie Blackwood,2,19:32,PP,,Prudential Center
17,2019-10-10,EDM,@,NJD,W,SO,Connor McDavid,22,131,Oscar Klefbom,Ryan Nugent-Hopkins,MacKenzie Blackwood,3,18:54,PP,,Prudential Center
18,2019-10-12,EDM,@,NYR,W,,Oscar Klefbom,26,30,Ryan Nugent-Hopkins,,Henrik Lundqvist,2,06:45,EV,,Madison Square Garden (IV)
19,2019-10-12,EDM,@,NYR,W,,Leon Draisaitl,23,128,Connor McDavid,Ethan Bear,Henrik Lundqvist,3,13:12,EV,,Madison Square Garden (IV)
20,2019-10-12,EDM,@,NYR,W,,Leon Draisaitl,23,129,Darnell Nurse,,,3,19:45,EV,EN,Madison Square Garden (IV)
21,2019-10-12,EDM,@,NYR,W,,Connor McDavid,22,132,Leon Draisaitl,Oscar Klefbom,Henrik Lundqvist,3,09:44,PP,,Madison Square Garden (IV)
22,2019-10-14,EDM,@,CHI,L,,James Neal,32,278,Ryan Nugent-Hopkins,Leon Draisaitl,Corey Crawford,3,17:49,PP,,United Center
23,2019-10-16,EDM,,PHI,W,,Leon Draisaitl,23,130,Connor McDavid,Oscar Klefbom,Carter Hart,1,01:13,EV,,Rogers Place
24,2019-10-16,EDM,,PHI,W,,Ethan Bear,22,2,James Neal,Ryan Nugent-Hopkins,Carter Hart,1,14:52,EV,,Rogers Place
25,2019-10-16,EDM,,PHI,W,,Connor McDavid,22,133,Kris Russell,Oscar Klefbom,Carter Hart,2,12:34,EV,,Rogers Place
26,2019-10-16,EDM,,PHI,W,,Brandon Manning,29,14,Connor McDavid,Zack Kassian,Brian Elliott,3,03:40,EV,,Rogers Place
